Ant;Eye;Trial;Gain;Order;Repetition;Mean angular speed;Mean angular velocity;blocked oscillation;fourrier;nb_osci;nb_block;Mean forward speed
18;2E;40;0;5;C3;132.1176388735004;-2.72703978413081;0.2692307692307692;0.22511941116592277;19;7;6.257060801275194
18;2E;40;-1;6;C3;375.127681748187;203.62191487803108;0.8571428571428571;0.15574244649134517;5;30;6.066996019905562
18;LE;41;3;1;C1;132.7333668402796;71.92289128405335;0.32142857142857145;0.20429009193054135;19;9;9.0967710765244
18;LE;41;5;2;C1;105.62527450886611;59.844893146532094;0.3125;0.375748734610879;22;10;7.73987431933411
18;LE;41;1;3;C1;100.3019637041126;30.188774941000162;0.1935483870967742;0.24506670076290327;25;6;8.08293867812642
18;LE;41;B;4;C1;106.48019266730783;47.51797305663685;0.2926829268292683;0.4263842614627955;29;12;7.537414209141198
18;LE;41;0;5;C1;147.87436171774135;99.13099907386992;0.4411764705882353;0.26668247007230056;19;15;9.937210894973994
18;LE;41;-1;6;C1;382.0144376060856;-380.92487693815906;1.0;0.27644869750132905;0;32;8.312900929379463
18;RE;42;3;1;C2;98.78471539477962;6.081529340555443;0.19230769230769232;0.18024107243438098;21;5;9.318123710308685
18;RE;42;5;2;C2;96.71682818155925;7.7998585942041485;0.14285714285714285;0.25815163429842325;24;4;8.270385505904516
18;RE;42;1;3;C2;151.33079903871678;34.176262384908426;0.2727272727272727;0.16662223407091442;16;6;8.226612911028939
18;RE;42;B;4;C2;113.45471108002805;62.40651422559898;0.4230769230769231;0.21152004987420123;15;11;9.104821665880662
18;RE;42;0;5;C2;113.68301545428072;-5.333596572807225;0.39285714285714285;0.14440593619479247;17;11;5.307098858324162
18;RE;42;-1;6;C2;138.91404583618402;56.87848820615641;0.42424242424242425;0.1443001443001443;19;14;5.296987270618443
19;2E;43;5;1;C1;69.19256518204939;37.53774806632951;0.3111111111111111;0.38486468967752385;31;14;19.666992194500985
19;2E;43;B;2;C1;120.98931899477908;12.418599993387595;0.36666666666666664;0.15292678336156595;19;11;15.275924358262214
19;2E;43;3;3;C1;66.40942353239049;-1.3486001483057186;0.24324324324324326;0.2445585717779408;28;9;17.132044417440987
19;2E;43;-1;4;C1;444.98958386677157;-414.8200371142891;0.8958333333333334;0.17790428749332857;5;43;9.322024780564607
19;2E;43;1;5;C1;100.37090211332998;-28.677686617826314;0.1;0.35650623885918;36;4;11.441758660000248
19;2E;43;0;6;C1;212.93528331679153;-67.59236838437458;0.75;0.14193456816407635;9;27;8.304404616188299
19;LE;44;5;1;C3;97.37116298599089;-8.545847790858915;0.35;0.27843519420854795;26;14;7.054887074838656
19;LE;44;B;2;C3;129.36177066071087;9.846444308220777;0.41025641025641024;0.2242296111217887;23;16;7.598122602876309
19;LE;44;3;3;C3;94.17072117464222;-11.08886791599338;0.38461538461538464;0.31565656565656564;32;20;7.0084867350212265
19;LE;44;-1;4;C3;150.43630256602734;35.063793699574724;0.55;0.2017213555675094;18;22;6.174873670961074
19;LE;44;1;5;C3;111.46112769393565;-1.5222575290418272;0.3902439024390244;0.2251817538441742;25;16;7.58239861955617
19;LE;44;0;6;C3;138.37055756563572;-8.274095805063716;0.4594594594594595;0.23691068467187867;20;17;6.6209658578939194
19;RE;45;5;1;C2;90.80055940779162;-40.87236635357678;0.24444444444444444;0.23963575365444523;34;11;7.241112718816339
19;RE;45;B;2;C2;129.2230990196214;26.604851752915444;0.23684210526315788;0.3561008109908792;29;9;8.884981218397614
19;RE;45;3;3;C2;86.86126350093011;-2.644472150737244;0.37037037037037035;0.29650714582221427;34;20;6.418120736412808
19;RE;45;-1;4;C2;140.00544287263077;-65.36467064524838;0.5192307692307693;0.2805836139169472;25;27;5.283407966051724
19;RE;45;1;5;C2;103.67377203859368;-13.152533502292092;0.24324324324324326;0.26876301820869447;28;9;5.7462523909082615
19;RE;45;0;6;C2;128.4803355799398;30.75179000263924;0.4473684210526316;0.2571843900257184;21;17;5.036854792543477
20;2E;46;B;1;C3;130.22526153031785;14.522352664103407;0.25;0.3865730300882675;27;9;7.920371510455617
20;2E;46;5;2;C3;107.80799171185438;27.836996116484773;0.42105263157894735;0.23941446063342225;22;16;7.700968353689103
20;2E;46;-1;3;C3;354.1702418682615;63.40379527518812;0.38235294117647056;0.257645123570565;21;13;3.2567216937659307
20;2E;46;3;4;C3;108.61148952263922;35.00936222168067;0.5777777777777777;0.18477457501847744;19;26;6.7307955607614645
20;2E;46;0;5;C3;315.92302652654314;300.25723289089365;0.8571428571428571;0.197982903593972;5;30;10.3677033293584
20;2E;46;1;6;C3;155.13014494755072;68.574698979783;0.36666666666666664;0.17321839783171322;19;11;10.627923748230652
20;LE;47;B;1;C2;125.87250931875013;-29.857588586600897;0.21052631578947367;0.3766356749311295;30;8;6.964232735312323
20;LE;47;5;2;C2;108.89793241734381;-35.371982137545096;0.4090909090909091;0.3814367450731087;26;18;6.060521370801162
20;LE;47;-1;3;C2;151.72159987906892;-55.50281774855384;0.34210526315789475;0.2644628099173553;25;13;3.620540431992528
20;LE;47;3;4;C2;125.70300625532316;-52.90725307244487;0.54;0.29298509961493385;23;27;7.669286008464085
20;LE;47;0;5;C2;176.80054917386371;-25.480195119502746;0.2631578947368421;0.28220548451762323;28;10;6.275644069030813
20;LE;47;1;6;C2;157.49626374581499;-5.584434440655089;0.25;0.2916191200710029;21;7;8.067707361699798
20;RE;48;B;1;C1;154.6447703947024;-62.10747560717197;0.4186046511627907;0.20670552730580016;25;18;8.675302568063245
20;RE;48;5;2;C1;153.4089721045713;-14.013287564452613;0.5714285714285714;0.2601118480946807;18;24;6.252916327122848
20;RE;48;-1;3;C1;198.17588533999432;81.55070255372968;0.5869565217391305;0.17305029995385326;19;27;6.770933296834785
20;RE;48;3;4;C1;170.20516940165865;11.152733895196803;0.35135135135135137;0.13290802764486975;24;13;8.802860517738226
20;RE;48;0;5;C1;189.57170312587448;30.10408492598914;0.3888888888888889;0.2071070416394157;22;14;6.819437503999063
20;RE;48;1;6;C1;164.95156562860384;4.978667808149083;0.2631578947368421;0.30323943367421624;28;10;7.462843277831892
